time,timebound_lower,timebound_upper,ghg_p05,ghg_p17,ghg_p50,ghg_p83,ghg_p95,natural_p05,natural_p17,natural_p50,natural_p83,natural_p95,other_human_forcing_p05,other_human_forcing_p17,other_human_forcing_p50,other_human_forcing_p83,other_human_forcing_p95,anthropogenic_p05,anthropogenic_p17,anthropogenic_p50,anthropogenic_p83,anthropogenic_p95,total_p05,total_p17,total_p50,total_p83,total_p95,residual_p05,residual_p17,residual_p50,residual_p83,residual_p95,aerosol-cloud_interactions_p05,aerosol-cloud_interactions_p17,aerosol-cloud_interactions_p50,aerosol-cloud_interactions_p83,aerosol-cloud_interactions_p95,aerosol-radiation_interactions_p05,aerosol-radiation_interactions_p17,aerosol-radiation_interactions_p50,aerosol-radiation_interactions_p83,aerosol-radiation_interactions,bc_snow_p05,bc_snow_p17,bc_snow_p50,bc_snow_p83,bc_snow_p95,ch4_p05,ch4_p17,ch4_p50,ch4_p83,ch4_p95,co2_p05,co2_p17,co2_p50,co2_p83,co2_p95,contrails_p05,contrails_p17,contrails_p50,contrails_p83,contrails_p95,h2o_strat_p05,h2o_strat_p17,h2o_strat_p50,h2o_strat_p83,h2o_strat_p95,halogen_p05,halogen_p17,halogen_p50,halogen_p83,halogen_p95,land_use_p05,land_use_p17,land_use_p50,land_use_p83,land_use_p95,n2o_p05,n2o_p17,n2o_p50,n2o_p83,n2o_p95,o3_p05,o3_p17,o3_p50,o3_p83,o3_p95,solar_p05,solar_p17,solar_p50,solar_p83,solar_p95,volcanic_p05,volcanic_p17,volcanic_p50,volcanic_p83,volcanic_p95
1946,1941,1951,0.003126506,0.003684858,0.004333984,0.004979652,0.005505528,2.10E-05,0.000177526,0.000514199,0.000993094,0.00143989,-0.001474786,-0.001031073,-0.000412254,0.000388976,0.001202627,0.003277358,0.003513032,0.003919193,0.004528404,0.005082588,0.00367815,0.003985744,0.004506309,0.005219756,0.00590042,-0.061089827,-0.051141599,-0.035795391,-0.020915658,-0.011378627,-0.001818548,-0.001383536,-0.00088023,-0.000459187,-0.000148323,-0.001047419,-0.000717891,-0.000394941,-0.000188427,-7.58E-05,1.09E-06,1.22E-05,4.73E-05,0.000113128,0.000198684,0.000893954,0.001023625,0.001214692,0.001439702,0.001617988,0.001570381,0.001990683,0.002461403,0.00291624,0.003265473,2.11E-06,4.29E-06,9.26E-06,1.76E-05,2.62E-05,-4.40E-06,2.35E-05,7.85E-05,0.000167376,0.000289131,0.000140991,0.000175162,0.000218285,0.000267026,0.000309858,-0.000497838,-0.000301742,-0.000119954,1.29E-05,0.000127062,0.000314469,0.000363376,0.000423088,0.00048887,0.00054204,0.000257934,0.000450455,0.000848062,0.001622266,0.002419467,0.000158377,0.000363055,0.000750636,0.001257062,0.001708901,-0.000536178,-0.000399402,-0.000217311,-3.46E-05,5.40E-05
1947,1942,1952,0.002938432,0.003479673,0.004116363,0.004755561,0.005270751,0.000296774,0.000657445,0.001263147,0.00201851,0.002670626,-0.001423158,-0.00098539,-0.000399266,0.000312882,0.001109043,0.003057385,0.003298001,0.003701242,0.004317123,0.004804267,0.003889102,0.004312139,0.005048509,0.005943876,0.00669585,-0.053732819,-0.046342386,-0.031569567,-0.017560663,-0.009674586,-0.00177417,-0.001344662,-0.000866947,-0.000504067,-0.000249456,-0.001092105,-0.000764819,-0.000436749,-0.000244021,-0.00013416,-2.61E-06,7.08E-06,3.65E-05,9.14E-05,0.000162904,0.000902421,0.001032819,0.001224973,0.001451156,0.001630065,0.001370461,0.001777959,0.002228072,0.002683422,0.003020581,2.24E-06,4.56E-06,9.83E-06,1.88E-05,2.78E-05,-4.45E-06,2.38E-05,7.94E-05,0.000169129,0.000292116,0.000160414,0.000197116,0.000244213,0.000296635,0.000343134,-0.000488974,-0.000295291,-0.000115208,2.29E-05,0.000144016,0.000293471,0.000340964,0.000399208,0.000462944,0.000514265,0.000268482,0.000468537,0.000881385,0.001685556,0.0025122,0.000212897,0.00048393,0.000988501,0.001636927,0.002202216,3.94E-05,0.000109348,0.000244054,0.000443675,0.000610839
1948,1943,1953,0.00284855,0.003365501,0.003981097,0.00460978,0.00511612,0.000466409,0.001027632,0.00184752,0.002771752,0.003525922,-0.001704106,-0.001280694,-0.000740451,-9.44E-06,0.000770255,0.002487917,0.002778964,0.003227571,0.00394988,0.004490638,0.003634339,0.004213961,0.005152222,0.006261456,0.00714578,-0.042725658,-0.036105351,-0.023618485,-0.011389015,-0.004365739,-0.001960988,-0.001526045,-0.001047936,-0.000645977,-0.00032941,-0.001404558,-0.001016654,-0.000602,-0.000357329,-0.00020367,-4.90E-06,4.56E-06,2.89E-05,7.56E-05,0.00013699,0.000911616,0.001042866,0.001236312,0.001463959,0.001643753,0.001283707,0.001658409,0.00208341,0.002529335,0.002856609,2.39E-06,4.86E-06,1.05E-05,2.00E-05,2.97E-05,-4.50E-06,2.41E-05,8.03E-05,0.000171035,0.000295374,0.000179923,0.000218839,0.000269736,0.000325622,0.000375764,-0.000514349,-0.000312922,-0.000125932,1.71E-05,0.000141066,0.0002668,0.000313201,0.000370191,0.000431721,0.00048095,0.000277292,0.000483801,0.000909834,0.00173981,0.002592009,0.00020976,0.000474623,0.000966022,0.001595899,0.002144393,0.000221945,0.000485831,0.000852042,0.00123237,0.001531281
1949,1944,1954,0.002888269,0.003376709,0.00396396,0.004576918,0.005076971,0.000483752,0.001062014,0.001864285,0.002717366,0.003390891,-0.0024528,-0.002008106,-0.001411644,-0.000574164,0.000145538,0.001598482,0.002016023,0.002559776,0.0033712,0.003984855,0.002854896,0.003483178,0.00445561,0.005620467,0.00654972,-0.02571566,-0.021568219,-0.010081671,-0.000554268,0.00460757,-0.002625602,-0.002079106,-0.001478497,-0.000889913,-0.000475787,-0.001972767,-0.0014462,-0.0008587,-0.000510992,-0.000280625,1.25E-06,1.05E-05,3.54E-05,8.47E-05,0.000150028,0.000930573,0.001062984,0.001258774,0.001489075,0.001670607,0.001314536,0.001646103,0.002043909,0.002468186,0.002787582,2.56E-06,5.20E-06,1.12E-05,2.14E-05,3.17E-05,-4.60E-06,2.46E-05,8.20E-05,0.000174512,0.000301297,0.000199139,0.000240088,0.000294625,0.000353766,0.000407546,-0.000572699,-0.000352801,-0.000150022,-1.73E-06,0.000123001,0.000245656,0.000290603,0.000346242,0.000405902,0.000453543,0.000290547,0.000506728,0.000952371,0.001820825,0.002711214,0.000138003,0.000311288,0.000641356,0.001080099,0.00147023,0.000312406,0.000685888,0.001192856,0.001692465,0.002068572
1950,1945,1955,0.003041776,0.003509973,0.004070074,0.004665755,0.005162403,0.000302142,0.000653094,0.001186599,0.001768814,0.002224216,-0.003673286,-0.003046858,-0.002253945,-0.001316696,-0.0005717,0.000541085,0.001106368,0.001813854,0.002702037,0.003416787,0.001376802,0.002114435,0.003023189,0.004106101,0.005027074,-0.011795744,-0.006800685,0.001165714,0.008635209,0.012475454,-0.003700808,-0.00289661,-0.002057661,-0.001277495,-0.000801287,-0.002684972,-0.001969555,-0.001164396,-0.000684184,-0.00036361,2.56E-06,2.14E-05,5.95E-05,0.000127876,0.000215998,0.000966999,0.001101695,0.001302145,0.001537781,0.001722852,0.001421979,0.001725123,0.002095936,0.002493001,0.002804722,2.74E-06,5.57E-06,1.20E-05,2.29E-05,3.40E-05,-4.77E-06,2.55E-05,8.51E-05,0.000180978,0.000312338,0.000218302,0.000261481,0.000319574,0.000382082,0.00043974,-0.000662878,-0.000412053,-0.000185831,-2.79E-05,9.76E-05,0.000236995,0.000279935,0.000333673,0.000391953,0.000438703,0.000310989,0.000542027,0.001017964,0.001945773,0.0028956,-0.000231447,-3.72E-05,7.67E-05,0.000228139,0.00037128,0.000298122,0.000650768,0.001127522,0.001609096,0.001974738
1951,1946,1956,0.003260536,0.003723822,0.004268828,0.004853299,0.005350611,-0.000201343,9.47E-05,0.000451567,0.000862486,0.001186257,-0.004905668,-0.004045453,-0.003043403,-0.001987667,-0.001168024,-0.000379962,0.000324002,0.00121101,0.002190874,0.002986116,-0.000275269,0.000650505,0.001708951,0.002789892,0.003726171,-0.008121447,-0.003593911,0.004425632,0.011775882,0.016240292,-0.004769031,-0.003692473,-0.002615798,-0.001681981,-0.001116085,-0.003354275,-0.00246021,-0.001450334,-0.000843928,-0.000435326,3.69E-06,3.15E-05,8.58E-05,0.0001804,0.000301624,0.001021992,0.001160986,0.001369586,0.001614384,0.001805636,0.001559684,0.001852619,0.002205032,0.002578788,0.002883637,2.94E-06,5.98E-06,1.29E-05,2.46E-05,3.65E-05,-5.04E-06,2.70E-05,8.99E-05,0.000190939,0.000329381,0.000237836,0.000283676,0.000345369,0.00041152,0.000473385,-0.000780365,-0.000488715,-0.000230891,-5.94E-05,6.80E-05,0.000237675,0.000279221,0.00033118,0.000388431,0.000434744,0.000336743,0.000586594,0.001101058,0.002104261,0.003130146,-0.001390895,-0.000960628,-0.000527777,-0.000244057,-9.96E-05,0.000282859,0.000615239,0.001067086,0.001534106,0.001888263
1952,1947,1957,0.003517631,0.00398699,0.004531538,0.005117617,0.005622707,-0.000962253,-0.000452916,-2.47E-06,0.000337238,0.000637748,-0.005883946,-0.00483293,-0.003666146,-0.00250827,-0.001627617,-0.000975127,-0.000168548,0.000845544,0.001877988,0.002707431,-0.001447056,-0.000413008,0.000825339,0.001976768,0.00292206,-0.016376812,-0.012357904,-0.004756607,0.001940572,0.006255007,-0.005649301,-0.004343654,-0.003077058,-0.002038889,-0.001399571,-0.003886147,-0.002852888,-0.001679115,-0.000971064,-0.000486965,4.81E-06,4.13E-05,0.000112031,0.000234718,0.000391601,0.001096671,0.001243057,0.001464317,0.001723387,0.001924404,0.001700181,0.001991633,0.002337147,0.002697555,0.002998625,3.16E-06,6.43E-06,1.39E-05,2.65E-05,3.93E-05,-5.42E-06,2.90E-05,9.65E-05,0.000204909,0.000353369,0.000258713,0.000307773,0.000373333,0.000443673,0.000510312,-0.000915434,-0.000576358,-0.000281756,-9.58E-05,4.12E-05,0.000247671,0.000288985,0.000339992,0.000396845,0.000443188,0.000366903,0.000638888,0.001198783,0.00229093,0.003406796,-0.002188589,-0.001591619,-0.000932269,-0.000452819,-0.000193342,0.000251858,0.000544559,0.00095128,0.001387504,0.00171851
1953,1948,1958,0.003803668,0.004287848,0.004844622,0.005446756,0.005969157,-0.001417772,-0.000910495,-0.000374832,-3.29E-05,0.000129403,-0.006843381,-0.005569675,-0.004244473,-0.0029893,-0.002058911,-0.001493638,-0.000536837,0.000591638,0.001631082,0.002437867,-0.002325524,-0.001197139,0.000146963,0.001340856,0.002228833,-0.007998133,-0.004578243,0.001413798,0.007869918,0.011497002,-0.006598516,-0.005019408,-0.003556287,-0.002443932,-0.001746714,-0.004359206,-0.003203098,-0.001882045,-0.001080635,-0.000530848,6.39E-06,5.52E-05,0.000149289,0.00031281,0.000521481,0.001194048,0.001351969,0.001591715,0.001871729,0.002087611,0.001833796,0.002126809,0.002472508,0.002829693,0.003131815,3.41E-06,6.92E-06,1.49E-05,2.85E-05,4.23E-05,-5.94E-06,3.17E-05,0.000105504,0.000223734,0.000385772,0.000282226,0.000335326,0.000405456,0.00048101,0.000553459,-0.001054124,-0.000666668,-0.000332975,-0.000130385,1.36E-05,0.000264654,0.00030702,0.000358667,0.000416255,0.000463253,0.00040356,0.000702531,0.001318034,0.002518806,0.003744943,-0.001987832,-0.001457601,-0.000864057,-0.000423874,-0.000181788,1.32E-05,0.000184786,0.000459942,0.000749334,0.000974418
1954,1949,1959,0.004101619,0.004608484,0.005187899,0.005818162,0.006366378,-0.001212793,-0.000892982,-0.000496547,-0.000197594,-6.32E-05,-0.007573739,-0.00622019,-0.004780784,-0.003429575,-0.002398995,-0.001776407,-0.000763897,0.000421037,0.00145272,0.002228806,-0.002525033,-0.001431914,-0.00011792,0.001031939,0.001844042,-0.00292402,0.00057711,0.006120566,0.011363175,0.015685204,-0.007399036,-0.00566999,-0.004047907,-0.002855935,-0.002107147,-0.004765757,-0.003502784,-0.002055014,-0.001165121,-0.000548891,8.35E-06,7.21E-05,0.000195266,0.000409516,0.00068306,0.001309518,0.001482765,0.001746243,0.002053592,0.002289406,0.001954023,0.002250502,0.002599574,0.002960487,0.003267438,3.67E-06,7.46E-06,1.61E-05,3.07E-05,4.56E-05,-6.55E-06,3.50E-05,0.000116398,0.000246693,0.000425321,0.000309253,0.000367335,0.000443042,0.000525181,0.00060462,-0.001178232,-0.000747718,-0.000378185,-0.00015905,-9.75E-06,0.000284047,0.000328401,0.000382108,0.000441771,0.000490227,0.00044125,0.000768066,0.001440916,0.002753532,0.004094216,-0.000951375,-0.000666492,-0.000371026,-0.000173955,-7.14E-05,-0.000628961,-0.000315324,-5.45E-05,6.99E-05,0.000138919
1955,1950,1960,0.004391983,0.004926383,0.00553471,0.006199224,0.006778292,-0.000452123,-0.000299922,-0.000121481,1.96E-05,0.000160161,-0.007874945,-0.006629608,-0.005155783,-0.003745869,-0.002579309,-0.001632503,-0.000741208,0.000409065,0.001419991,0.002200264,-0.001831518,-0.000907869,0.000280765,0.001324713,0.002105336,-0.00304271,0.00063016,0.004920047,0.008871629,0.013292212,-0.007812545,-0.006114072,-0.004429553,-0.003167052,-0.002380206,-0.005030585,-0.003691993,-0.002163768,-0.00120738,-0.00052918,1.02E-05,8.83E-05,0.000239073,0.000501563,0.000836742,0.001430155,0.001620329,0.001909572,0.00224678,0.002504998,0.002060411,0.002361838,0.002715539,0.00308343,0.003397532,3.95E-06,8.03E-06,1.73E-05,3.31E-05,4.91E-05,-7.21E-06,3.84E-05,0.000127955,0.000271119,0.000467458,0.000340009,0.000403948,0.000486362,0.000576486,0.000664061,-0.00126642,-0.000805305,-0.000410009,-0.000177813,-2.28E-05,0.000301753,0.000348316,0.0004046,0.000466962,0.000517416,0.000468594,0.000815701,0.001530269,0.002924315,0.004347725,1.44E-05,6.99E-05,0.000202243,0.000431097,0.000682939,-0.000884787,-0.000628455,-0.000335161,-0.000151487,-6.58E-05
1956,1951,1961,0.004679283,0.005244413,0.005884093,0.006584717,0.007197052,1.74E-06,0.000141645,0.000452151,0.00087649,0.001281078,-0.008208621,-0.006994901,-0.005465613,-0.003998123,-0.002693209,-0.001506485,-0.000679812,0.000456083,0.001473177,0.002248161,-0.001040494,-0.000195792,0.000952698,0.002033415,0.002863506,-0.014478122,-0.010915567,-0.007278453,-0.003382828,-0.000253658,-0.008259872,-0.006532531,-0.004774664,-0.003432233,-0.002607418,-0.005248631,-0.003838875,-0.002245488,-0.001232906,-0.000493846,1.22E-05,0.000105348,0.000285228,0.000598319,0.000998251,0.001537841,0.001743114,0.002054975,0.002418405,0.002696536,0.002183643,0.002489948,0.00284811,0.00322592,0.003549775,4.26E-06,8.65E-06,1.87E-05,3.56E-05,5.29E-05,-7.80E-06,4.16E-05,0.000138347,0.000293113,0.000505373,0.000374603,0.000445164,0.000535462,0.000634952,0.000731722,-0.001309763,-0.000833615,-0.000424904,-0.000185262,-2.52E-05,0.000316687,0.000365307,0.000424062,0.000489071,0.000541608,0.000488963,0.000851211,0.001596813,0.003051412,0.00453583,0.000157397,0.000363138,0.000756576,0.001280533,0.001759484,-0.000659974,-0.000500308,-0.000287517,-0.000116659,-4.82E-05
1957,1952,1962,0.004961369,0.005559693,0.006230991,0.006966382,0.007611664,0.000190647,0.000451894,0.000961705,0.001626769,0.00221667,-0.008655318,-0.007400027,-0.005787211,-0.004238405,-0.002824374,-0.00152348,-0.000687958,0.000483573,0.001549703,0.002359039,-0.000584866,0.00026699,0.001474974,0.002701322,0.003714393,-0.010983578,-0.00807504,-0.004238271,-0.000177506,0.002319687,-0.008776008,-0.006964199,-0.005105196,-0.003670293,-0.00279978,-0.005505724,-0.004015377,-0.002341956,-0.001267953,-0.000465357,1.40E-05,0.000120854,0.000327089,0.000685767,0.001143815,0.001615476,0.001830713,0.002157648,0.002538349,0.002829897,0.002337082,0.002652064,0.003016357,0.003408404,0.003745782,4.65E-06,9.46E-06,2.04E-05,3.90E-05,5.78E-05,-8.22E-06,4.38E-05,0.000145851,0.000308997,0.00053267,0.000413649,0.000491706,0.000591188,0.000701595,0.000808783,-0.001316608,-0.00083791,-0.000426028,-0.000184259,-1.98E-05,0.000329331,0.000379754,0.000440705,0.00050808,0.000562532,0.000505571,0.000880184,0.001651012,0.003154951,0.004688856,0.000222069,0.000506414,0.001037618,0.001724841,0.002326436,-0.000246918,-0.000171992,-7.10E-05,1.55E-05,0.000109157
1958,1953,1963,0.005240339,0.005873715,0.006575778,0.007344097,0.008021319,0.000278138,0.000614321,0.00118031,0.001886865,0.002493388,-0.008910921,-0.007654843,-0.00600929,-0.004399607,-0.002921834,-0.001434498,-0.000588553,0.000618072,0.001717547,0.002583742,-0.000300587,0.000551225,0.001806484,0.003100797,0.004207991,-0.005908127,-0.002328299,0.0017502,0.005434749,0.007999975,-0.009012616,-0.007179787,-0.005289815,-0.003790858,-0.002881196,-0.005739044,-0.004186437,-0.002436903,-0.00130895,-0.000449747,1.49E-05,0.000128669,0.000347972,0.000728563,0.001214585,0.00166146,0.001881652,0.002216279,0.002605932,0.002904538,0.002515986,0.002846624,0.003221904,0.003633388,0.003988249,5.24E-06,1.07E-05,2.30E-05,4.39E-05,6.53E-05,-8.48E-06,4.52E-05,0.000150374,0.000318598,0.000549098,0.000457948,0.000544519,0.000654654,0.000777753,0.000896831,-0.001300324,-0.000826988,-0.00041879,-0.000178304,-1.21E-05,0.000339513,0.000391427,0.000454205,0.000523576,0.000579618,0.000512877,0.000893074,0.001675273,0.003201463,0.004757248,0.000210866,0.000478326,0.000975424,0.001613784,0.00216984,4.23E-05,9.17E-05,0.000183234,0.000310722,0.000429697
1959,1954,1964,0.005539427,0.006211287,0.006946469,0.007749259,0.00846034,-0.001087816,-0.000671871,-0.000246485,2.10E-05,0.00024072,-0.009156491,-0.007876163,-0.006188009,-0.004529486,-0.003011106,-0.001293872,-0.000428543,0.000814289,0.001942185,0.002844934,-0.001724087,-0.000788757,0.000508864,0.001678009,0.002600907,0.008667828,0.011726567,0.015831176,0.019785683,0.022638895,-0.009228518,-0.007353803,-0.005420099,-0.003876891,-0.002941316,-0.005966094,-0.004356168,-0.002536891,-0.001363467,-0.000468843,1.53E-05,0.00013223,0.000357372,0.000747344,0.001245261,0.001692234,0.001915417,0.002254868,0.002650037,0.002953493,0.002718963,0.003072253,0.003465008,0.003901921,0.004278583,6.03E-06,1.23E-05,2.65E-05,5.06E-05,7.52E-05,-8.66E-06,4.61E-05,0.000153616,0.000325482,0.000560893,0.000508503,0.000604822,0.000727315,0.000865191,0.000997842,-0.001270512,-0.000807203,-0.000406969,-0.000170177,-5.32E-06,0.000348982,0.000402275,0.000466719,0.000537922,0.000595459,0.000521194,0.000907637,0.001702526,0.003253674,0.004834733,0.000128953,0.000292243,0.000604933,0.001022831,0.001395723,-0.001808004,-0.001417316,-0.000949466,-0.000523745,-0.00023294
1960,1955,1965,0.005870804,0.006586029,0.007359381,0.008201367,0.008950574,-0.006830768,-0.005482632,-0.003768434,-0.002109682,-0.000943563,-0.009294687,-0.008009281,-0.006291702,-0.004597056,-0.003069107,-0.001020687,-0.000139548,0.001127545,0.002271222,0.003220214,-0.006305672,-0.004814835,-0.002722498,-0.000569858,0.000976294,-0.001624864,0.001252771,0.005478682,0.009696401,0.012704304,-0.009313126,-0.007427265,-0.005464977,-0.003903465,-0.00295908,-0.00618396,-0.004525207,-0.002641924,-0.001430819,-0.000519675,1.51E-05,0.000130042,0.000351349,0.000734174,0.001222738,0.001723814,0.001950378,0.002295241,0.002696677,0.003005332,0.002939261,0.003319971,0.003736888,0.00420426,0.004606734,6.95E-06,1.42E-05,3.06E-05,5.84E-05,8.69E-05,-8.85E-06,4.72E-05,0.000157094,0.000332837,0.000573531,0.000566905,0.000674544,0.000811543,0.000966851,0.001115188,-0.001231335,-0.000781598,-0.000392383,-0.000161355,4.52E-07,0.00035861,0.000413281,0.000479384,0.000552416,0.000611411,0.000532226,0.000926847,0.001738451,0.003322362,0.004936943,-0.000313822,-9.47E-05,2.62E-05,0.000151088,0.000268344,-0.00672358,-0.005480245,-0.00382087,-0.002153819,-0.000964446
1961,1956,1966,0.006220916,0.006982111,0.007797196,0.008682155,0.009472365,-0.011368076,-0.009329697,-0.006540495,-0.003697341,-0.00165753,-0.009189848,-0.00795604,-0.006253127,-0.004537412,-0.00300397,-0.000601471,0.000296469,0.001606046,0.00279895,0.00394884,-0.010145239,-0.008003128,-0.004988542,-0.001832156,0.000507817,-0.010876835,-0.007639861,-0.003263639,0.001091991,0.00429531,-0.009087044,-0.007263411,-0.005333941,-0.003776765,-0.002816965,-0.006388538,-0.004696234,-0.002749211,-0.001504134,-0.000577883,1.39E-05,0.000118856,0.000321609,0.000672241,0.001120153,0.001760062,0.001990889,0.002342373,0.002751429,0.003066299,0.003159103,0.003568497,0.004013276,0.004512816,0.00494244,8.00E-06,1.63E-05,3.52E-05,6.72E-05,0.000100068,-9.08E-06,4.84E-05,0.000161134,0.000341385,0.000588274,0.000634845,0.00075576,0.000909952,0.00108593,0.00125263,-0.001187948,-0.00075336,-0.000376825,-0.000153005,3.48E-06,0.000367977,0.000424009,0.000491739,0.000566555,0.000626993,0.000541829,0.000943599,0.001769954,0.003382701,0.005026874,-0.001696486,-0.001193938,-0.000675567,-0.000321238,-0.000134272,-0.009934206,-0.008210759,-0.005800751,-0.003296788,-0.001480643
1962,1957,1967,0.006591389,0.007401375,0.008261407,0.009192765,0.010027103,-0.012988849,-0.01069018,-0.007517513,-0.004272993,-0.001920484,-0.00916192,-0.007946993,-0.006215237,-0.004446271,-0.002881823,-0.0002602,0.000684756,0.00207476,0.003428326,0.004912826,-0.011321133,-0.008853809,-0.005426666,-0.001891332,0.000751421,-0.023212759,-0.019767829,-0.015196634,-0.010696107,-0.007519819,-0.008906515,-0.007127242,-0.005176904,-0.003591448,-0.002596412,-0.006663842,-0.004919307,-0.002886906,-0.001599272,-0.000652764,1.22E-05,0.00010402,0.00028271,0.000592658,0.000989592,0.001800652,0.002036497,0.002395672,0.002813595,0.003135513,0.003379091,0.003817741,0.004292047,0.004824179,0.00528149,9.20E-06,1.87E-05,4.05E-05,7.73E-05,0.00011517,-9.32E-06,4.98E-05,0.000165662,0.000350969,0.000604812,0.000713855,0.000850288,0.001024773,0.001225098,0.001413168,-0.001145627,-0.000725954,-0.00036222,-0.000146137,4.60E-06,0.000378593,0.000436138,0.000505667,0.000582448,0.000644477,0.000557879,0.000971489,0.001821999,0.003482054,0.00517452,-0.002951977,-0.002160166,-0.001277636,-0.000625578,-0.000270278,-0.010430973,-0.008655127,-0.006143729,-0.003515226,-0.001584433
1963,1958,1968,0.006980048,0.007841267,0.008749111,0.009730234,0.010611393,-0.012605295,-0.010331134,-0.007235071,-0.004127276,-0.001861674,-0.009290547,-0.008043376,-0.006257858,-0.00441277,-0.00279151,4.04E-05,0.001033607,0.002494189,0.004001077,0.005585511,-0.010616296,-0.008110764,-0.004677339,-0.001231836,0.001346186,-0.020455356,-0.017195122,-0.012748769,-0.008462574,-0.005471461,-0.008952356,-0.007152588,-0.005138122,-0.00351159,-0.002522778,-0.006975528,-0.00515854,-0.003033577,-0.00170477,-0.000738477,1.10E-05,9.29E-05,0.000253511,0.000533426,0.000892155,0.001848701,0.00209052,0.002458937,0.002887451,0.003217657,0.00359227,0.004059318,0.00456282,0.005126404,0.00561038,1.07E-05,2.19E-05,4.73E-05,9.03E-05,0.000134748,-9.62E-06,5.14E-05,0.000170916,0.000362076,0.000623983,0.000805346,0.000959813,0.001157999,0.001386705,0.001599436,-0.001114573,-0.000706001,-0.000352432,-0.000143068,2.46E-06,0.000391686,0.000451067,0.000522781,0.000601948,0.000665882,0.000588072,0.001023849,0.001919524,0.003668224,0.005450431,-0.003331172,-0.002458603,-0.001470196,-0.000726033,-0.000315939,-0.009697101,-0.008013439,-0.005662061,-0.003252834,-0.001471933
1964,1959,1969,0.007375243,0.008287765,0.009244489,0.010276652,0.01120614,-0.010652384,-0.008651682,-0.005982373,-0.003413507,-0.001548942,-0.009384972,-0.008091958,-0.006252934,-0.004315353,-0.002667904,0.000448833,0.001475047,0.00297661,0.004598202,0.0061566,-0.00835816,-0.006053109,-0.002923368,0.000118749,0.002389029,-0.018883237,-0.015726942,-0.011656207,-0.007691857,-0.004917397,-0.00903341,-0.007196331,-0.005118529,-0.003457068,-0.002462579,-0.007213002,-0.005334405,-0.003142732,-0.001787737,-0.000816761,1.01E-05,8.50E-05,0.000232704,0.000491103,0.000822371,0.001910758,0.002160467,0.002540957,0.002983328,0.003323988,0.003779818,0.004271318,0.004799894,0.00539029,0.005897668,1.28E-05,2.61E-05,5.65E-05,0.000107861,0.000161078,-9.98E-06,5.33E-05,0.000177542,0.000376067,0.000648103,0.000910469,0.001085645,0.001311209,0.001572557,0.001813478,-0.001113338,-0.00070579,-0.00035468,-0.000148285,-7.44E-06,0.000406552,0.000468065,0.000542311,0.000624229,0.000690361,0.000625129,0.001088212,0.002039799,0.003897916,0.005791383,-0.002819783,-0.00207559,-0.001241711,-0.00061539,-0.000268724,-0.00818761,-0.006695645,-0.004656461,-0.002670866,-0.001216347
1965,1960,1970,0.007780225,0.008744413,0.00975135,0.010836369,0.011815664,-0.007818568,-0.006239719,-0.004163667,-0.002316865,-0.001067484,-0.009253089,-0.007963977,-0.006101418,-0.004109567,-0.002392643,0.001010415,0.002064734,0.003596191,0.005375929,0.00711557,-0.005188473,-0.003197865,-0.000483882,0.002106371,0.00408281,-0.010747446,-0.007974302,-0.004295778,-0.000556953,0.002114172,-0.008911253,-0.007070507,-0.004981402,-0.003282728,-0.002281488,-0.007339446,-0.005427164,-0.00320258,-0.001831463,-0.000857632,9.27E-06,7.76E-05,0.000213007,0.000451112,0.000756701,0.001988885,0.002248725,0.00264467,0.003104754,0.003458652,0.003944228,0.004456526,0.005006118,0.005619124,0.00614702,1.52E-05,3.10E-05,6.71E-05,0.000128081,0.000191399,-1.04E-05,5.58E-05,0.00018579,0.000393479,0.000678172,0.001029651,0.001228269,0.001484859,0.001783037,0.00205549,-0.001148528,-0.000729862,-0.000371175,-0.000161927,-2.46E-05,0.00042126,0.00048492,0.000561733,0.000646455,0.000714839,0.000654081,0.00113862,0.002134394,0.004078724,0.006060122,-0.001843855,-0.001328193,-0.000771828,-0.000377241,-0.000164219,-0.006208073,-0.004979013,-0.003339806,-0.001858852,-0.000858909
